1, 206, 450
0, 184, -19
1, 791, 349
0, -625, 370
0, -587, -338
1, -648, 671
1, 563, 237
0, 934, -720
0, 983, -957
1, 144, -438
0, 202, -587
1, -304, 362
0, -971, 751
0, 274, -949
1, -78, -637
1, -844, 889
0, 275, 708
1, 607, -637
1, -512, 555
0, -657, 494
0, -328, -633
0, 89, -955
1, -253, 482
1, -86, -541
1, 846, 296
0, 413, -722
1, 13, -70
0, 279, 12
0, -301, -338
0, -628, 395
0, 504, -974
1, 956, -93
1, 179, -754
1, 60, -886
1, 325, -920
0, -860, -687
1, -505, -516
1, 497, -404
0, 567, 790
0, 47, -676
1, -730, 688
0, 808, 333
0, 81, -344
1, -246, -326
1, 412, -119
1, -797, -32
1, -23, -488
0, 731, -607
1, -159, 156
1, 711, 512
0, -839, 8
0, 997, -506
0, 562, 321
1, -983, -878
0, 78, -981
0, -443, -336
0, -263, -788
1, -321, 554
0, 125, 23
1, 888, 201
1, -891, 171
1, 713, 717
1, -235, 982
1, 434, -266
0, -930, -476
1, -632, 63
0, -677, 577
0, 796, -160
1, -917, 853
1, 861, -353
0, 981, 212
0, -403, 923
1, -165, -653
1, 882, 919
1, -216, 463
1, -482, 636
0, 846, 772
1, 156, -889
0, 861, 597
0, 626, 930
0, 134, -453
1, -688, -341
1, 731, 763
0, -837, -736
0, -345, 763
0, -718, -252
0, 33, 566
0, 848, -733
1, 152, -123
1, -811, 658
1, -588, 89
0, 594, 181
0, -592, -538
1, -670, -38
0, 297, -833
0, 182, -207
0, 748, 935
0, 825, 977
0, -388, -963
1, -833, -696
1, 592, -66
1, 897, 686
1, 659, -582
1, -640, 489
0, -241, -341
0, -820, -808
1, 912, -433
1, 918, -210
0, -386, 166
0, 444, 185
0, -701, -464
0, -734, 316
1, -432, -711
1, -204, 639
0, -905, -649
0, 843, 150
1, 340, -83
0, 900, 943
1, -160, -734
1, 81, -485
1, 470, -119
0, 62, -269
1, -212, -73
0, 97, 330
1, -86, 451
1, -21, -323
0, -112, -73
0, -548, 11
1, -726, 569
1, -644, 692
0, -679, 46
0, -229, -143
1, -168, 796
1, -547, 812
0, 501, 422
1, -885, -699
0, 337, 955
1, 558, -77
0, 447, 70
1, -820, 248
1, 256, 983
1, 70, 658
1, 408, -280
0, 58, 338
1, -913, 708
1, 426, -333
1, -236, -392
1, -51, 873
0, 389, -906
0, 893, 74
1, -624, -43
0, 885, 572
1, -123, -385
0, -787, -714
1, 214, 500
0, 609, 363
0, 91, -820
1, 474, 978
0, -346, 537
0, -202, -929
1, -61, 435
0, -451, 222
0, -518, -778
0, 239, 484
1, 995, 48
1, -110, -625
1, -656, -225
1, -24, 919
0, 628, 977
0, 651, 6
0, 431, -597
1, 733, -212
1, -460, -471
1, 854, -979
0, -204, 731
1, 530, -606
0, -716, -660
1, -335, 719
0, -294, 43
1, 629, 327
0, 458, -73
0, 113, -301
0, 507, 769
0, 50, 163
0, 256, 821
1, -751, 909
1, -467, -507
0, -416, 526
0, 614, -67
1, -807, 785
1, -306, -614
1, 723, 876
1, 893, -295
0, 642, 46
0, -411, -295
1, 638, 605
0, 911, -302
1, 415, -482
0, -582, 763
0, 176, -356
1, -926, 99
0, 754, 130
0, 704, 84
1, 424, -590
1, 187, -419
1, -784, 749
1, -742, 735
0, 603, 604
1, -406, -672
1, 709, -739
0, 682, -865
0, -686, 491
0, -220, 263
0, 841, 441
0, 82, -492
0, -878, 598
0, -817, 970
0, -159, -725
1, -555, 772
0, -123, -523
1, 536, 109
1, 539, -84
0, -12, 600
0, 333, -915
0, 74, -866
1, -794, -572
0, 215, 589
0, -370, -126
0, 527, -299
0, 376, -762
0, -835, 755
0, -629, -624
1, -646, 911
1, 368, 257
1, 648, 674
0, 269, -365
0, -378, -800
0, -366, -811
0, 239, 972
1, 614, -506
0, 113, -472
0, 861, 420
1, 561, -869
1, -333, -426
1, -811, 619
1, 403, 902
1, -585, 362
0, -765, 344
1, 921, -420
0, -724, 863
0, -820, -529
0, 931, -222
1, -551, -650
0, -845, 511
1, 384, -39
1, 853, -534
0, -85, 613
0, -686, -461
1, 783, 763
0, -9, 59
1, 445, 939
1, -312, -136
1, -163, -106
1, -474, -848
0, -533, 455
0, 531, -918
0, 550, 635
1, -244, 234
1, 399, 81
1, 120, -508
0, -387, 437
1, -721, 146
0, 625, -76
0, 946, -4
0, 671, 648
1, 198, 889
1, 355, 987
0, -695, -786
1, 546, 938
0, -414, 729
1, -77, 498
1, 866, -263
0, 266, -31
1, -971, 106
0, -7, -153
1, -117, 880
1, 180, 477
1, -627, 893
0, -833, 684
1, 737, -181
0, -587, 256
0, 236, 165
1, 878, -902
1, -858, -227
0, 749, 738
1, 127, -486
1, -898, 699
1, 505, 509
0, -555, 324
0, 973, -339
1, -957, -735
1, -604, 952
0, 835, -940
1, -756, -50
1, 242, -882
1, 870, -24
1, 908, -252
0, 246, -636
1, 647, 839
1, 181, 8
1, -933, -929
1, -989, -903
1, 754, -97
0, 335, -642
0, 565, -149
0, -774, 670
1, 904, 275
1, 592, -200
0, 872, 473
0, 370, 354
0, 482, 864
0, -960, 723
1, 991, -442
1, -508, -635
0, -762, 786
1, -712, -991
0, -290, -913
1, -482, 454
1, -582, 492
1, 495, -452
0, 108, -5
0, 7, -994
1, 777, -933
0, -814, -114
0, -222, 607
0, 916, 578
1, -674, -255
1, 388, 346
0, 972, 438
0, -56, 741
0, 847, 913
1, -538, -969
0, 338, 144
0, 581, 23
0, 50, 420
1, -250, -2
1, 66, -237
0, 740, 4
0, 205, -447
1, -106, -734
1, 357, -1000
0, -644, 16
1, -870, -79
1, 663, -132
1, -680, -283
0, -569, 335
1, -880, -438
1, 151, -400
0, 27, 437
1, -648, -860
1, 119, -979
1, 196, 553
1, 844, 203
0, 578, 281
1, -168, -749
0, -508, -407
1, -664, 430
0, 889, 584
1, -621, 480
0, 219, -607
0, -997, -880
1, 627, -949
